Tiêu đề sách,Đã bán (Sách),Giá bán (VNĐ),Giá gốc (VNĐ),Mã Kim Đồng (Mã sách),ISBN (Mã quốc tế),Tác giả,Đối tượng,Chiều dài (cm),Chiều rộng (cm),Số trang,Định dạng,Trọng lượng (gram),Bộ sách,Loại sách,Mô tả
Ninja Rantaro - Tập 58,663,5000,40000,5222205440058,978-604-2-23617-1,Soubee Amako,Nhi đồng,18,13,240,bìa mềm,225,Ninja Rantaro,Manga - Comic,"Doi Hansuke Xuất hiện từ tập 1. Cung Nhân Mã, nhóm máu O, 25 tuổi, độc thân. Là giáo viên chủ nhiệm môn lí thuyết lớp 1A, cố vấn đội thuốc súng. Thầy rất giỏi về thuốc súng, binh pháp; ghét mấy món chả cá. Bị bọn nhóc rắc rối ở lớp 1A quay như chong chóng nên đôi lúc thầy lại bị cơn đau dạ dày hành hạ. Vào kì nghỉ, thầy cho Kirimaru không có nhà ở nhờ, đôi lúc còn phải xắn tay lao vào cùng giải quyết mấy việc làm thêm mà Kirimaru “kiết xu” nhận về. nbsp;"
Nhà có 5 nàng dâu - Tập 11 (2022),780,22500,25000,5222214690011,978-604-2-23707-9,Negi Haruba,Tuổi mới lớn,17.6,11.3,192,bìa mềm,150,Nhà có 5 nàng dâu,Manga - comic,"Thầy giáo dạy thêm bất đắc dĩ Futarou đang gánh vác sứ mệnh dẫn lối cho 5 chị em gái xinh đẹp nhưng lại “ghét học”, “suýt soát lưu ban” tới ngưỡng cửa “lễ tốt nghiệp”. Tuy mọi chuyện trở nên khó xử nhưng sau cơn mưa trời lại sáng, chuyến tham quan trường ở Kyoto đã kết thúc tốt đẹp. Và cô gái đã gặp Futarou trong chuyến tham quan trường 5 năm trước không ai khác chính là Yotsuba... Câu chuyện về quá khứ của 5 chị em dần được hé lộ...!!"
Dragon Ball Full Color - Phần năm - Tập 6,781,69300,77000,5222215400006,978-604-2-27254-4,Akira Toriyama,Tuổi mới lớn,17.6,11.3,224,bìa mềm,280,Dragon Ball Full Color,Manga - comic,"Nếu bạn là fan của DRAGON BALL - 7 VIÊN NGỌC RỒNG và những cuộc phiêu lưu của Khỉ Con Son Goku thì DRAGON BALL FULL COLOR sẽ làm bạn thích thú hơn nữa khi 100% cuốn truyện mà chúng ta yêu thích đều CÓ MÀU! Các nhân vật sẽ xuất hiện trước mắt bạn với màu da, màu tóc, phục trang và những khung cảnh vô cùng sống động! Những màn chiến đấu đặc trưng của DRAGON BALL cũng vì thế mà trở nên hoành tráng hơn bao giờ hết! Sau thời gian dài chuẩn bị và trao đổi với đại diện của tác giả Akira Toriyama, bộ truyện đã được NXB Kim Đồng phát hành với 100% bản quyền, phần ruột sách in màu rực rỡ trên giấy couché, có bìa áo 5 màu phản quang cực kì ấn tượng!! Dragon Ball Full Color có tổng cộng 32 tập, chia thành 6 phần, tương ứng với từng giai đoạn trưởng thành của Son Goku: Phần 1: Thời niên thiếu của Son Goku (8 tập) Phần 2: Đại ma vương Piccolo (4 tập) Phần 3: Cuộc đổ bộ của người Saiya (3 tập) Phần 4: Frieza Đại Đế (5 tập) Phần 5: Truy lùng Cell Bọ Hung (6 tập) Phần 6: Ma Buu (6 tập)"
Dã ngoại thảnh thơi - Tập 7,807,5000,30000,5222214890007,978-604-2-23579-2,Afro,Tuổi mới lớn,18,13,178,bìa mềm,140,Dã ngoại thảnh thơi,Manga - comic,"“Xin chào, tôi là afro. Cảm ơn các bạn đã mua “Dã ngoại thảnh thơi” tập 7. Tôi đã đi tàu điện và xe bus từ Yugawara về khu cắm trại sau 3 tập vắng bóng, về đến nơi thì ngôi nhà (lều) đã bị dỡ mất tiêu rồi. Cắm trại kiểu này khắc nghiệt ghê!” - afro"
Khéo khôn với tiền - Tránh những ưu phiền (2023),799,135000,150000,5231300010137,978-604-2-33680-2,"Lê Thị Thuý Sen, Thăng Fly",Nhi đồng,24,17,284,bìa mềm,300,không có,Kiến thức - khoa học,"Có lẽ trong cuộc sống, ai cũng mong muốn tránh rủi ro và có kiến thức, kĩ năng về quản lí tài chính, tiền tệ và đầu tư? Mất tiền, được tiền, kiếm tiền, tiêu tiền là vấn đề bạn quan tâm? Những kiến thức tài chính, tiền tệ, đầu tư thường rất khô khan và khó hiểu? Người lớn tuổi có thể tránh được rủi ro tài chính qua những câu chuyện thực tế được kể lại dưới hình thức truyện tranh sinh động? Các phụ huynh muốn con hiểu được giá trị của đồng tiền để yêu lao động và sống có trách nhiệm hơn? Các em học sinh muốn trang bị cho mình những kiến thức tài chính căn bản? Một cuốn truyện tranh mà bạn đọc ở mọi lứa tuổi đều có thể tìm đọc? Những thắc mắc trên của bạn sẽ được giải đáp trong cuốn truyện tranh K HÉO KHÔN VỚI TIỀN – Tránh những ưu phiền  của tác giả Lê Thị Thúy Sen – Vụ trưởng Vụ Truyền thông Ngân hàng Nhà nước Việt Nam, minh họa bởi hoạ sĩ Thăng Fly, do Nhà xuất bản Kim Đồng ấn hành trong tháng 12 năm 2023. KHÉO KHÔN VỚI TIỀN – Tránh những ưu phiền  Cuốn t ruyện tranh tài chính đầu tiên cho gia đình Việt  được thể hiện độc đáo, sáng tạo, bất ngờ và hữu ích;  Đề cập đến  những vấn đề mà mọi người đang rất quan tâm  về tài chính, tiền tệ, đầu tư (tiền tệ, chứng khoán, trái phiếu, bảo hiểm…);  Những kiến thức khô khan, khó hiểu được  dẫn dắt một cách mộc mạc, dễ hiểu qua những câu ca dao, tục ngữ,  thành ngữ và truyền thống văn hóa Việt Nam nên dễ nhớ, dễ hiểu, dễ áp dụng;   Truyền cảm hứng  về lòng nhân ái, sự hiếu nghĩa, tinh thần trách nhiệm, lòng biết ơn và yêu lao động qua những câu chuyện thấm đẫm tình cảm gia đình, tình đồng đội, tình thầy cô, bạn bè…;   Món quà lạ lì xì năm mới  ý nghĩa và thiết thực. Tác giả Lê Thị Thúy Sen chia sẻ:  “Khó khăn nhất khi tôi viết là làm sao truyền đạt kiến thức về tài chính, ngân hàng một cách dễ hiểu, dễ áp dụng, ai đọc cũng thấy mình trong đó với các tình huống giàu tính nhân văn, giáo dục để hướng đến những điều tốt đẹp. Ca dao, tục ngữ, thành ngữ, truyền thống, văn hóa, lịch sử dân tộc đã giúp tôi dẫn dắt kiến thức tài chính, ngân hàng một cách mộc mạc, dễ hiểu đến bạn đọc. Gần ba mươi câu chuyện xoay quanh kiến thức cơ bản liên quan đến tiền (lịch sử của tiền, giá trị kinh tế - xã hội của đồng tiền, tiền điện tử, lạm phát, giảm phát, lãi suất, tỉ giá… tác động ra sao đến cuộc sống, ứng xử trong giao dịch tiền tệ, nội tệ, ngoại tệ…), hiểu biết về đầu tư tài chính (chứng khoán, trái phiếu, bảo hiểm, chứng chỉ quỹ…) hoặc về ngân hàng (lịch sử, hoạt động ngân hàng, những lưu ý khi gửi tiết kiệm, vay vốn, thanh toán…)”. Cuốn sách được viết, vẽ công phu và được  các chuyên gia trong và ngoài nước đánh giá cao , sẽ trở thành “tủ thuốc tài chính” hữu ích của mọi gia đình Việt Nam.  Khéo khôn với tiền – Tránh những ưu phiền  dự kiến sẽ được phát hành toàn quốc vào tháng 12/2023. Một số đánh giá về cuốn truyện: 1. “Đây là cuốn truyện tranh thường thức độc đáo, sáng tạo về tài chính – ngân hàng đầu tiên của Việt Nam dành cho trẻ em, gia đình và phần lớn chúng ta. Tôi mong các nhà giáo dục nghiên cứu đưa vào chương trình giáo dục cho học sinh, góp phần rút ngắn con đường trở nên an lành và thịnh vượng của cộng đồng.” TS. Lê Xuân Nghĩa - Thành viên Hội đồng Tư vấn Chính sách Tiền tệ Quốc gia 2.  “Nên đọc cuốn sách! Cuốn sách có ý nghĩa nâng cao dân trí quốc gia về tài chính, cho chúng ta nhiều suy nghĩ về cuộc sống và ai đọc cũng thấy mình ở trong đó. Người đọc sẽ có được kiến thức, tránh rủi ro tài chính và đầu tư, sống có khát vọng, trách nhiệm hơn với bản thân, gia đình và xã hội.” PGS.TS Trương Gia Bình - Chủ tịch HĐQT Công ty Cổ phần FPT 3.  “Cuốn sách này giúp cho độc giả có một cách tiếp cận dễ hiểu về thế giới tiền tệ và tài chính. Tôi đánh giá cao cuốn sách này và ủng hộ tác giả trong việc giáo dục tài chính.” Ông Peter Verhoeven (Hà Lan) - Chuyên gia tài chính quốc tế, Chủ tịch Công ty Prometheus Asia Sdn. Bhd. 4 . “Lọ Lem và Hạt Dẻ đã đọc từ đầu đến cuối cuốn sách với kiến thức tài chính giá trị qua nhiều câu chuyện rất cảm động.Cuốn sách đã truyền cảm hứng về sự cố gắng, lòng nhân ái, trách nhiệm của người con với gia đình và xã hội.” Mai Thảo Linh (Lọ Lem), Mai Thảo Ngọc (Hạt Dẻ) - Con gái MC Quyền Linh 5.  “Tôi thực sự bị cuốn hút không chỉ về kiến thức tài chính trong cuốn sách mà còn là bài học về cuộc sống sâu sắc, giàu tính giáo dục bằng tục ngữ, ca dao Việt Nam.” TS. Nguyễn Hương Giang - Tác giả cuốn sách “Mẹ Việt giúp con học tốt tiếng Anh”, hiện đang làm việc tại Tổ chức giáo dục Devereus, New York, Hoa Kỳ. Về tác giả: ThS. Lê Thị Thúy Sen là Vụ trưởng Vụ Truyền thông Ngân hàng Nhà nước Việt Nam, Ủy viên BCH Hội Liên hiệp Phụ nữ Việt Nam, có hơn 20 năm công tác liên quan đến lĩnh vực tài chính - ngân hàng, truyền thông, bảo hiểm tiền gửi, cố vấn các chương trình truyền hình  Tiền khéo Tiền khôn  – Kênh VTV3 Đài Truyền hình Việt Nam,  Tay hòm chìa khóa  – Kênh VTV1 Đài Truyền hình Việt Nam. Hoạ sĩ Thăng Fly là tác giả của nhiều cuốn sách, bao gồm:  Vạn sự khởi đầu nan, gian nan đừng có nản, Cả nhà thương nhau..."
Saiki Kusuo - Kẻ siêu năng khốn khổ - Tập 15,811,5000,22000,5212214260015,978-604-2-22776-6,Shuichi Aso,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,115,Saiki Kusuo - Kẻ siêu năng khốn khổ,Manga - comic,"Mọi người rủ nhau lên chiếc du thuyền sang trọng của Saiko để du ngoạn biển khơi vào một cuối tuần đẹp trời... Nhưng rồi thế nào tàu lại bị đắm!? Dù may mắn toàn mạng và dạt lên đảo hoang, Kusuo sẽ làm cách nào để về đất liền!? Tập truyện bao gồm ấn bản đặc biệt “Teruhashi Kokomi – Nàng hot girl khốn khổ”!!"
Boxset Nhà trọ của những điều đã mất (3 tập),810,45000,90000,5222215310100,không có,Hozumi,Tuổi mới lớn,17.6,11.3,không có,bìa mềm,400,Nhà trọ của những điều đã mất,Manga - comic,"Nhà Trọ Của Những Điều Đã Mất Tập 1 Một nhà trọ cổ kính với cô chủ là một thiếu nữ. Những vị khách được người hướng dẫn đưa tới đây chắc chắn sẽ tìm thấy thứ họ đã đánh mất. Bí ẩn và bí mật nơi “nhà trọ của những điều đã mất” mang đầy màu sắc huyền bí này là gì? Hãy bước vào thế giới kì ảo đậm chất Nhật Bản với nhiều yếu tố bất ngờ, cảm động mà Hozumi - nữ phù thủy của dòng truyện trữ tình mang đến cho chúng ta. *** Nhà Trọ Của Những Điều Đã Mất Tập 2 Một nhà trọ kì ảo nơi nhận ra những thứ cần tìm. Đó là nơi những người mang nỗi lưu luyến trần thế tìm đến. Tại nhà trọ này, ta sẽ gặp một chàng hướng dẫn viên, một cô chủ trong vóc dáng thiếu nữ, và các nhân viên phục vụ. Những suy tưởng thầm kín và quá khứ khuất lấp của họ là gì... ? *** Nhà Trọ Của Những Điều Đã Mất Tập 3 Thân phận thực sự của “cô chủ” là Terashima Saki, Matsuura là Matsuura Atsushi. Cả hai đã gặp nhau từ thời thơ ấu, và đem lòng yêu nhau khi tái ngộ. Ước nguyện của họ là được hạnh phúc bên nhau. Bi kịch nào đã chia cắt đôi tình nhân ấy? Tập cuối của câu chuyện về nhà trọ kì ảo - nơi tìm thấy những điều đã mất, diễn ra với nhiều kịch tính và cảm xúc nghẹn ngào đến rơi lệ. Hozumi Sinh ngày 28 tháng 10. Năm 2010, cô đạt giải Hoa Bạc trong cuộc thi sáng tác truyện tranh của “Nguyệt san Flowers”. Tuyển tập truyện ngắn “Shiki no Zenjitsu”, bao gồm cả tác phẩm đầu đề giúp cô đạt giải và ra mắt thành công, đã đột phá 500.000 bản, đứng thứ 2 trong danh mục Nữ của giải thưởng “Kono Manga ga Sugoi! 2013”. Tác phẩm đầu tiên được phát hành theo kì “Sayonara Sorcier” đã giành giải nhất trong danh mục Nữ của giải thưởng “Kono Manga ga Sugoi! 2014”. Boxset  Nhà Trọ Của Những Điều Đã Mất  3 cuốn gồm: - Nhà Trọ Của Những Điều Đã Mất Tập 1 - Nhà Trọ Của Những Điều Đã Mất Tập 2 - Nhà Trọ Của Những Điều Đã Mất Tập 3"
Dấu ấn hoàng gia - Tập 9,799,27000,30000,5242218240009,978-604-2-37900-7,"Chieko Hosokawa, Fūmin",Tuổi mới lớn,17.6,11.3,192,bìa mềm,200,Dấu ấn hoàng gia,Manga - comic,"""Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tựa dòng chảy sông Nile, cùng nụ cười mê hoặc lòng người, thiếu nữ do mẹ hiền sông Nile hạ sinh sẽ ban phước lành cho mảnh đất sa mạc của chúng ta..."" Bị vướng phải lời nguyền hoàng gia, thiếu nữ đam mê khảo cổ học Carol đã bị đưa về thế giới 3000 năm trước. Tại đây, cô gái tóc vàng xinh đẹp được vị Pharaoh trẻ tuổi trị vì Ai Cập cổ đại Memphis đem lòng yêu và nhất quyết muốn lập làm hoàng hậu. Tuy nhiên, bủa vây xung quanh họ là những âm mưu và toan tính... ""Huyền thoại"" dòng truyện tranh thiếu nữ, câu chuyện lãng mạn kì ảo vượt thời - không nơi vùng đất Ai Cập cổ đại huyền bí đầy mê hoặc sẽ chính thức bắt đầu từ tháng 8.2024. Hãy cùng đón chào màn ra mắt chính thức với BẢN QUYỀN 100% của tác phẩm kinh điển gắn liền với hồi ức của nhiều thế hệ độc giả."
Bá tước tiểu thư - Tập 4,825,5000,30000,5222215560004,978-604-2-27561-3,"Chieko Hosokawa, Fu-min",Tuổi mới lớn,"17,6","11,3",192,bìa mềm,150,Bá tước tiểu thư,Manga - Comic,"Câu chuyện diễn ra ở Pháp vào cuối thế kỷ XIX, thời kì Phồn hoa tươi đẹp. Corinne, cô gái trong sáng, hoạt bát lớn lên trong trại trẻ mồ côi đã có một mối tình trong sáng với chàng quý tộc mù Richard. Bên cạnh đó, bạn của Richard, Vua báo chí tuổi trẻ tài cao Alain lại tha thiết yêu cô. Khi Richard đến Paris phẫu thuật mắt, Corinne mới biết thân phận thực sự của mình là cháu gái Bá tước Ronsard. Trên đường đến Paris đoàn tụ người thân, con tàu chẳng may bị đắm, cướp đi trí nhớ của cô. Lợi dụng tai nạn ấy, ả móc túi Anna đã mạo danh Corinne, thế chỗ cô trở thành tiểu thư nhà Bá tước... Đan xen giữa tình yêu và thù hận, lãng mạn và buồn thương, BÁ TƯỚC TIỂU THƯ - Series Manga cổ điển thập niên cũ hứa hẹn sẽ mang đến cho độc giả nhiều cung bậc cảm xúc qua nét vẽ trau chuốt, tỉ mỉ của Chieko Hosokawa & Fu~min - Bộ đôi đã sáng tác ""NỮ HOÀNG AI CẬP"" (Tên cũ) - Một trong những tác phẩm truyện tranh gắn liền với tuổi thơ của nhiều thế hệ độc giả. Nhà xuất bản Kim Đồng xin trân trọng giới thiệu cùng bạn đọc."
Bá tước tiểu thư - Tập 3,812,5000,30000,5222215560003,978-604-2-27560-6,"Chieko Hosokawa, Fu-min",Tuổi mới lớn,"17,6","11,3",192,bìa mềm,150,Bá tước tiểu thư,Manga - comic,"Câu chuyện diễn ra ở Pháp vào cuối thế kỷ XIX, thời kì Phồn hoa tươi đẹp. Corinne, cô gái trong sáng, hoạt bát lớn lên trong trại trẻ mồ côi đã có một mối tình trong sáng với chàng quý tộc mù Richard. Bên cạnh đó, bạn của Richard, Vua báo chí tuổi trẻ tài cao Alain lại tha thiết yêu cô. Khi Richard đến Paris phẫu thuật mắt, Corinne mới biết thân phận thực sự của mình là cháu gái Bá tước Ronsard. Trên đường đến Paris đoàn tụ người thân, con tàu chẳng may bị đắm, cướp đi trí nhớ của cô. Lợi dụng tai nạn ấy, ả móc túi Anna đã mạo danh Corinne, thế chỗ cô trở thành tiểu thư nhà Bá tước... Đan xen giữa tình yêu và thù hận, lãng mạn và buồn thương, BÁ TƯỚC TIỂU THƯ - Series Manga cổ điển thập niên cũ hứa hẹn sẽ mang đến cho độc giả nhiều cung bậc cảm xúc qua nét vẽ trau chuốt, tỉ mỉ của Chieko Hosokawa & Fu~min - Bộ đôi đã sáng tác ""NỮ HOÀNG AI CẬP"" (Tên cũ) - Một trong những tác phẩm truyện tranh gắn liền với tuổi thơ của nhiều thế hệ độc giả. Nhà xuất bản Kim Đồng xin trân trọng giới thiệu cùng bạn đọc."
Dragon Ball Full Color - Phần sáu - Tập 5,660,69300,77000,5232216030005,978-604-2-28414-1,Akira Toriyama,Tuổi mới lớn,17.6,11.3,224,bìa mềm,280,Dragon Ball Full Color,Manga - comic,"Nếu bạn là fan của DRAGON BALL - 7 VIÊN NGỌC RỒNG và những cuộc phiêu lưu của Khỉ Con Son Goku thì DRAGON BALL FULL COLOR sẽ làm bạn thích thú hơn nữa khi 100% cuốn truyện mà chúng ta yêu thích đều CÓ MÀU! Các nhân vật sẽ xuất hiện trước mắt bạn với màu da, màu tóc, phục trang và những khung cảnh vô cùng sống động! Những màn chiến đấu đặc trưng của DRAGON BALL cũng vì thế mà trở nên hoành tráng hơn bao giờ hết! Sau thời gian dài chuẩn bị và trao đổi với đại diện của tác giả Akira Toriyama, bộ truyện đã được NXB Kim Đồng phát hành với 100% bản quyền, phần ruột sách in màu rực rỡ trên giấy couché, có bìa áo 5 màu phản quang cực kì ấn tượng!! Dragon Ball Full Color có tổng cộng 32 tập, chia thành 6 phần, tương ứng với từng giai đoạn trưởng thành của Son Goku: Phần 1: Thời niên thiếu của Son Goku (8 tập) Phần 2: Đại ma vương Piccolo (4 tập) Phần 3: Cuộc đổ bộ của người Saiya (3 tập) Phần 4: Frieza Đại Đế (5 tập) Phần 5: Truy lùng Cell Bọ Hung (6 tập) Phần 6: Ma Buu (6 tập)"
Bá tước tiểu thư - Tập 2,858,5000,30000,5222215560002,978-604-2-27559-0,"Chieko Hosokawa, Fu-min",Tuổi mới lớn,"17,6","11,3",192,bìa mềm,150,Bá tước tiểu thư,Manga - comic,"Câu chuyện diễn ra ở Pháp vào cuối thế kỷ XIX, thời kì Phồn hoa tươi đẹp. Corinne, cô gái trong sáng, hoạt bát lớn lên trong trại trẻ mồ côi đã có một mối tình trong sáng với chàng quý tộc mù Richard. Bên cạnh đó, bạn của Richard, Vua báo chí tuổi trẻ tài cao Alain lại tha thiết yêu cô. Khi Richard đến Paris phẫu thuật mắt, Corinne mới biết thân phận thực sự của mình là cháu gái Bá tước Ronsard. Trên đường đến Paris đoàn tụ người thân, con tàu chẳng may bị đắm, cướp đi trí nhớ của cô. Lợi dụng tai nạn ấy, ả móc túi Anna đã mạo danh Corinne, thế chỗ cô trở thành tiểu thư nhà Bá tước... Đan xen giữa tình yêu và thù hận, lãng mạn và buồn thương, BÁ TƯỚC TIỂU THƯ - Series Manga cổ điển thập niên cũ hứa hẹn sẽ mang đến cho độc giả nhiều cung bậc cảm xúc qua nét vẽ trau chuốt, tỉ mỉ của Chieko Hosokawa & Fu~min - Bộ đôi đã sáng tác ""NỮ HOÀNG AI CẬP"" (Tên cũ) - Một trong những tác phẩm truyện tranh gắn liền với tuổi thơ của nhiều thế hệ độc giả. Nhà xuất bản Kim Đồng xin trân trọng giới thiệu cùng bạn đọc."
Card Captor Sakura - Thẻ bài pha lê,873,27000,30000,6242211950001,không có,Clamp,Thiếu niên,17.6,11.3,156,bìa mềm,110,Card Captor Sakura - Thẻ bài pha lê,Manga - comic,"Với sự dẫn dắt của chìa khóa giấc mơ và những lá bài pha lê, câu chuyện mới của Sakura đã bắt đầu! Sakura đã trở thành học sinh trung học khi tháng 4 quay lại cùng những đóa anh đào nở rộ. Được gặp lại Syaoran yêu quý, còn được học chung trường khiến nụ cười luôn rạng rỡ trên môi Sakura! Nhưng những lá bài của Sakura bỗng trở nên kì lạ sau một giấc mơ bí ẩn…? Các bạn hãy cùng Sakura bước vào cuộc hành trình mới của mình trong “Card Captor Sakura - Thẻ bài pha lê” này nhé!"
Thiên thần diệt thế - Seraph of the end - Tập 24,648,5000,22000,5222212340024,978-604-2-23577-8,"Takaya Kagami, Yamato Yamamoto, Daisuke Furuya",Tuổi mới lớn,17.6,11.3,180,bìa mềm,125,Thiên thần diệt thế - Seraph of the end,Manga - comic,"Theo mệnh lệnh của Shikama Douji, Asuramaru tiến hành bắt giữ linh hồn của Mikaela, và cuộc chiến khốc liệt với Mikaela bên trong thế giới nội tâm của cậu ta đã bắt đầu diễn ra… Ở một diễn biến khác, Shinoa cảm nhận được mệnh lệnh ấy khi đang ghìm lại không cho Shikama Douji thức tỉnh. Nhóm của Yuichiro thì đang khẩn trương thực hiện việc phong ấn Mikaela vào trang bị quỷ chú!?"
Dã ngoại thảnh thơi - Tập 8,656,5000,30000,5222214890008,978-604-2-23580-8,Afro,Tuổi mới lớn,18,13,178,bìa mềm,140,Dã ngoại thảnh thơi,Manga - comic,"“Xin chào, tôi là afro. Cảm ơn các bạn đã mua “Dã ngoại thảnh thơi” tập 8. Dạo này đang có trào lưu dã ngoại thì phải, ngay giữa mùa đông mà đi đâu cũng đông như kiến. Tôi cứ phải tìm bãi cắm trại trống suốt rồi tình cờ lại phát hiện ra một chỗ mới ở phía Đông núi Phú Sĩ. Địa điểm cực đỉnh, rộng rãi lại còn ngắm được núi Phú Sĩ, mà chẳng hiểu sao không có mống phượt thủ nào nên tôi bao trọn cả khu luôn. Tìm được chỗ độc thật đấy! Ủa? Sao lắm ô tô xanh lục trông rõ kì cục trong này thế??” - afro nbsp; nbsp; nbsp;"
Spy x Family tiểu thuyết - Bức chân dung gia đình (Tặng Kèm Standee PVC),879,40500,45000,5222215650001,978-604-2-27479-1,"Tatsuya Endo, Aya Yajima",Tuổi mới lớn,19,13,212,bìa mềm,225,Spy x Family tiểu thuyết,Văn học nước ngoài,"Lớp học thiên nhiên của Anya, ngày nghỉ của Yuri, chuyện tình mộc mạc của Franky và một thiếu nữ, kì án xoay quanh bức chân dung gia đình Forger… Tất cả sẽ có trong cuốn tiểu thuyết về những bí mật của nhà Forger!! AYA YAJIMA “Tôi rất yêu thích SPYxFAMILY, một tác phẩm khiến người đọc bật cười đồng thời rưng rưng nước mắt!” SáchTặng Kèm Standee PVC cho bản in đầu tiên"
Dragon Ball Full Color - Phần ba - Tập 2,880,69300,77000,5212214620002,978-604-2-22751-3,Akira Toriyama,Tuổi mới lớn,17.6,11.3,248,bìa mềm,280,Dragon Ball Full Color,Manga - comic,"Sau Đại hội võ thuật lần thứ 23, Đại Ma Vương Piccolo không còn quấy rối dân lành nữa. Goku và các bạn quay trở về cuộc sống bình thường. Anh đã kết hôn với Chichi, con gái của Ngưu Ma Vương và có một cậu con trai tên là Gohan. Trong một lần Goku đưa Gohan đến đảo Rùa chơi thì bỗng có một kẻ ăn vận kì lạ, tự xưng là anh trai ruột của Son Goku xuất hiện. Hắn đã tiết lộ một điều khủng khiếp về thân thế thật của Goku rồi bắt cóc Gohan đem đi mất... Xin mời các bạn tiếp tục theo dõi phần truyện màu đầy kịch tính tiếp theo của 7 Viên Ngọc Rồng: Dragon Ball Full Color: Cuộc đổ bộ của người Saiya. Bộ sưu tập những tác phẩm của Akira Toriyama do NXB Kim Đồng đã, đang và dự kiến phát hành! - Dragon Ball - 7 Viên ngọc rồng - bản đen trắng (42 tập) - Dragon Ball Đại tuyển tập (1 tập) - Dragon Ball ngoại truyện: Tỉnh giấc hoá Yamcha (1 tập) - Tuyển tập truyện ngắn Akira Toriyama:   Phim trường số 0 Vol.1   Phim trường số 0 Vol.2   Phim trường số 0 Vol.3   Jaco- tuần tra viên ngân hà   Neko Majin- chú mèo võ sĩ   Dũng sĩ Kajika   Sandland - Vùng hoang mạc   Cowa! Làng quái vật - Dragon Ball Super (11 tập +) - Dragon Ball Full Color (32 tập) - Dragon Ball SD (5+) - Dr. Slump - Ultimate Edition (15 tập) - Dragon Ball Super – BROLY Anime comics (1 tập)"
Naruto ngoại truyện - Hokage đệ thất và mùa hoa đỏ,903,12500,25000,5222212520004,978-604-2-27074-8,Masashi Kishimoto,Tuổi mới lớn,17.6,11.3,216,bìa mềm,165,Naruto lẻ,Manga - comic,"Đại chiến Ninja làm chao đảo thế giới đã lùi xa! Thời gian dần trôi, giờ là thời điểm mà những cư dân của làng Lá được hưởng thụ hòa bình êm ấm, tiếp tục chăm bón cho những mầm non tương lai. Ngày nọ, một kẻ với hành tung bất thường sở hữu Sharingan bỗng xuất hiện và gây náo động. Và cô nhóc Sarada - con gái của Sasuke và Sakura - trở thành mục tiêu tấn công của địch!? MASASHI KISHIMOTO “Bạn đang cầm trên tay cuốn Ngoại truyện của NARUTO. Lần này câu chuyện chỉ gói gọn trong 1 tập. Nhân vật chính là cô nhóc Sarada 11 tuổi, còn người vẽ về cô nhóc đó là ông chú 40 tuổi tôi đây. Thế nhé, xin hãy cùng thưởng thức.” nbsp;"
Bá tước tiểu thư - Tập 1,885,5000,30000,5222215560001,978-604-2-27558-3,"Chieko Hosokawa, Fu-min",Tuổi mới lớn,"17,6","11,3",216,bìa mềm,150,Bá tước tiểu thư,Manga - comic,"Câu chuyện diễn ra ở Pháp vào cuối thế kỷ XIX, thời kì Phồn hoa tươi đẹp. Corinne, cô gái trong sáng, hoạt bát lớn lên trong trại trẻ mồ côi đã có một mối tình trong sáng với chàng quý tộc mù Richard. Bên cạnh đó, bạn của Richard, Vua báo chí tuổi trẻ tài cao Alain lại tha thiết yêu cô. Khi Richard đến Paris phẫu thuật mắt, Corinne mới biết thân phận thực sự của mình là cháu gái Bá tước Ronsard. Trên đường đến Paris đoàn tụ người thân, con tàu chẳng may bị đắm, cướp đi trí nhớ của cô. Lợi dụng tai nạn ấy, ả móc túi Anna đã mạo danh Corinne, thế chỗ cô trở thành tiểu thư nhà Bá tước... Đan xen giữa tình yêu và thù hận, lãng mạn và buồn thương, BÁ TƯỚC TIỂU THƯ - Series Manga cổ điển thập niên cũ hứa hẹn sẽ mang đến cho độc giả nhiều cung bậc cảm xúc qua nét vẽ trau chuốt, tỉ mỉ của Chieko Hosokawa & Fu~min - Bộ đôi đã sáng tác ""NỮ HOÀNG AI CẬP"" (Tên cũ) - Một trong những tác phẩm truyện tranh gắn liền với tuổi thơ của nhiều thế hệ độc giả. Nhà xuất bản Kim Đồng xin trân trọng giới thiệu cùng bạn đọc."
